cul_4_asr_uci, psup_8_rrmse, psup_2_asr, psup_5_sr, saf_2_asr, lga_name, vol_past_yr_3_asr_lci, saf_8_rrmse, gsup_3_asr_lci, vol_past_yr_5_sr, cul_6_sr_lci, discrim_past_yr_7_sr_uci, saf_7_sr_uci, discrim_past_yr_4_asr_uci, vol_past_yr_2_asr, lga_code, psup_7_sr_uci, vol_past_yr_6_sr_lci, saf_3_asr_lci, gsup_5_sr, cul_7_sr_uci, cul_1_count, saf_6_sr_lci, psup_1_count, psup_6_sr_lci, gsup_2_asr, discrim_past_yr_2_asr, vol_past_yr_7_sr_uci, discrim_past_yr_5_sr, discrim_past_yr_8_rrmse, saf_5_sr, cul_3_asr_lci, saf_4_asr_uci, saf_1_count, gsup_1_count, discrim_past_yr_1_count, cul_8_rrmse, discrim_past_yr_6_sr_lci, vol_past_yr_1_count, gsup_6_sr_lci, psup_4_asr_uci, ste_name, vol_past_yr_4_asr_uci, cul_5_sr, discrim_past_yr_3_asr_lci, gsup_8_rrmse, gsup_7_sr_uci, gsup_4_asr_uci, vol_past_yr_8_rrmse, cul_2_asr, psup_3_asr_lci
7.5,3,28.7,92,74.6,"Alpine (S)",39.4,3,93.5,168,36,118,161,21.9,51.6,20110,118,128,65.0,102,166,488,124,2740,66,96.0,17.6,207,94,3,142,1.6,84.2,6501,8760,1435,1,71,4767,99,36.8,"vic",63.7,101,13.2,3,105,98.6,3,4.6,20.6
9.9,3,28.9,93,65.8,"Ararat (RC)",32.6,3,92.7,156,18,121,153,22.4,48.0,20260,126,106,51.8,102,218,518,99,2551,60,96.0,17.0,206,92,3,126,0.8,79.9,5376,8174,1317,1,63,4110,98,39.3,"vic",63.4,118,11.7,3,105,99.2,3,5.4,18.6
6.5,3,28.0,90,46.5,"Ballarat (C)",32.7,3,94.7,125,71,102,99,19.0,38.4,20570,103,106,41.2,102,143,3702,79,20699,77,96.0,16.9,143,91,3,89,3.2,51.8,34208,71520,12351,3,79,28511,101,32.2,"vic",44.1,107,14.8,3,103,97.2,3,4.8,23.9
4.5,3,31.0,99,54.4,"Banyule (C)",29.1,3,94.8,112,47,101,114,18.8,34.4,20660,113,95,49.2,102,98,3276,94,30244,86,96.0,16.7,129,90,3,104,2.1,59.6,52566,93670,16009,3,79,33677,101,35.3,"vic",39.8,73,14.7,3,103,97.1,3,3.3,26.7
7.3,3,29.1,93,61.5,"Bass Coast (S)",26.6,3,93.0,114,49,107,134,20.0,35.2,20740,114,86,52.9,101,161,1334,101,7459,73,95.3,16.6,142,89,3,117,2.2,70.1,14541,23599,3685,1,72,8818,99,35.6,"vic",43.7,105,13.3,3,104,97.6,3,4.8,22.6
8.4,3,28.1,90,56.2,"Baw Baw (S)",31.5,3,94.2,133,59,109,124,20.2,40.9,20830,111,102,47.3,102,186,2073,90,9927,69,96.2,16.9,164,91,3,107,2.7,65.1,18996,33239,5532,1,73,14226,100,34.6,"vic",50.3,123,13.5,3,104,98.1,3,5.5,21.5
4.3,3,32.7,105,68.4,"Bayside (C)",34.8,3,94.7,135,40,96,142,17.9,41.5,20910,122,113,62.5,102,94,2510,119,24985,88,96.2,15.6,157,84,3,130,1.8,74.2,50633,72906,11323,3,72,31732,101,38.0,"vic",48.3,67,13.3,3,104,97.7,3,3.1,27.5
8.9,3,30.3,97,61.6,"Benalla (RC)",31.5,3,93.2,141,46,116,138,21.6,43.4,21010,123,102,51.0,102,196,664,97,3267,71,95.8,17.5,180,94,3,118,2.1,72.2,6156,10071,1654,1,72,4555,99,38.5,"vic",55.3,121,13.3,3,104,98.3,3,5.5,22.1
3.4,3,31.2,100,70.8,"Boroondara (C)",33.3,3,94.9,126,38,94,144,17.5,38.7,21110,114,108,66.1,102,75,3459,126,41225,87,96.0,15.6,143,84,3,135,1.7,75.5,94483,129004,21057,3,74,51441,101,35.4,"vic",44.1,57,13.8,3,103,97.1,3,2.6,27.0
3.5,3,31.8,102,36.3,"Brimbank (C)",18.8,3,92.3,71,43,110,76,20.4,22.0,21180,113,61,32.8,99,77,4028,63,48477,91,93.7,18.7,82,100,3,69,2.0,39.8,56100,143433,29171,3,91,33528,98,35.2,"vic",25.1,60,17.0,3,101,95.1,3,2.7,28.4
