SA2,SA2 Name,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Commonwealth Seniors Health Card,Disability Support Pension,Family Tax Benefit A,Family Tax Benefit B,Health Care Card,Low Income Card,Newstart Allowance,Parenting Payment Partnered,Parenting Payment Single,Partner Allowance,Pensioner Concession Card,Sickness Allowance,Special Benefit,Widow Allowance,Widow B Pension,Wife Pension (Partner on Age Pension),Wife Pension (Partner on Disability Support Pension),Youth Allowance (other),Youth Allowance (student and apprentice),Commonwealth Rent Assistance (income units),,,,,,,,,,,,,,,,,,,,,
11001,Goulburn,10,10,"3,219",36,660,17,266,364,"1,068","1,572","1,257","1,209",238,868,80,365,<5,"5,580",8,<5,13,0,<5,5,120,120,"1,710",,,,,,,,,,,,,,,,,,,,,
11002,Goulburn Region,0,<5,"1,578",<5,373,10,161,323,375,652,465,495,71,265,36,84,<5,"2,424",10,<5,<5,0,<5,<5,29,27,430,,,,,,,,,,,,,,,,,,,,,
11003,Yass,<5,7,839,5,171,<5,66,130,225,383,295,292,58,140,15,66,0,"1,301",6,<5,<5,0,<5,0,23,24,381,,,,,,,,,,,,,,,,,,,,,
11004,Yass Region,<5,<5,684,5,179,7,55,238,180,442,299,314,69,129,13,58,<5,"1,086",<5,0,<5,0,0,<5,19,36,210,,,,,,,,,,,,,,,,,,,,,
11005,Young,<5,19,"1,653",7,331,15,145,197,547,954,719,650,71,423,68,213,<5,"2,840",<5,<5,<5,0,<5,5,65,38,987,,,,,,,,,,,,,,,,,,,,,
11006,Young Region,<5,9,"1,173",<5,256,5,113,131,380,483,351,350,58,229,28,82,0,"1,925",<5,<5,8,0,5,<5,28,20,342,,,,,,,,,,,,,,,,,,,,,
11007,Braidwood,0,<5,465,5,73,<5,35,112,147,217,179,157,25,103,14,40,<5,785,<5,0,<5,0,<5,<5,<5,9,158,,,,,,,,,,,,,,,,,,,,,
11008,Karabar,<5,20,706,5,208,8,62,87,311,516,433,340,42,194,20,134,0,"1,338",<5,<5,5,0,<5,0,39,19,358,,,,,,,,,,,,,,,,,,,,,
11009,Queanbeyan,6,11,"1,176",11,195,<5,60,115,423,582,488,447,86,301,17,133,0,"1,953",<5,<5,<5,0,<5,0,32,36,730,,,,,,,,,,,,,,,,,,,,,
11010,Queanbeyan - East,0,<5,276,6,63,<5,23,41,134,235,197,175,38,113,6,41,0,556,<5,0,0,0,<5,0,13,12,279,,,,,,,,,,,,,,,,,,,,,
11011,Queanbeyan Region,5,5,776,7,238,9,48,248,160,528,393,324,56,132,15,77,0,"1,167",<5,0,<5,0,<5,<5,10,22,268,,,,,,,,,,,,,,,,,,,,,
11012,Queanbeyan West - Jerrabomberra,0,8,534,<5,187,<5,41,117,172,379,296,254,33,95,6,58,0,876,<5,0,<5,0,0,0,22,14,208,,,,,,,,,,,,,,,,,,,,,
11013,Bombala,0,<5,339,<5,63,<5,32,53,120,137,99,113,23,62,5,26,<5,571,<5,0,<5,0,<5,<5,8,5,106,,,,,,,,,,,,,,,,,,,,,
11014,Cooma,<5,<5,"1,068",6,176,<5,71,138,364,461,378,367,50,238,30,102,<5,"1,745",<5,0,<5,0,<5,<5,62,21,643,,,,,,,,,,,,,,,,,,,,,
11015,Cooma Region,0,0,401,<5,76,<5,28,91,92,154,106,136,22,84,13,15,0,595,0,0,<5,0,<5,<5,9,<5,73,,,,,,,,,,,,,,,,,,,,,
11016,Jindabyne - Berridale,0,<5,498,5,89,<5,28,130,108,335,220,220,40,122,8,38,0,744,<5,0,<5,0,<5,0,12,9,229,,,,,,,,,,,,,,,,,,,,,
11017,Batemans Bay,<5,25,"1,715",10,333,7,169,191,530,644,515,560,65,444,52,144,<5,"2,838",<5,0,8,0,5,<5,78,12,876,,,,,,,,,,,,,,,,,,,,,
11018,Batemans Bay - South,0,21,"1,849",7,321,6,152,248,418,634,468,465,65,322,49,129,<5,"2,813",0,0,5,0,<5,5,54,14,759,,,,,,,,,,,,,,,,,,,,,
11019,Bega - Tathra,6,22,"1,344",15,229,6,98,175,440,651,499,473,79,286,29,126,<5,"2,257",<5,0,<5,0,<5,<5,55,20,612,,,,,,,,,,,,,,,,,,,,,
11020,Bega-Eden Hinterland,<5,7,"1,192",10,248,<5,128,175,521,603,431,514,108,371,52,90,<5,"2,197",<5,<5,6,0,<5,5,33,20,337,,,,,,,,,,,,,,,,,,,,,
11021,Broulee - Tomakin,0,<5,665,<5,101,<5,38,113,117,195,138,148,25,88,<5,21,<5,920,<5,0,<5,0,<5,<5,11,9,233,,,,,,,,,,,,,,,,,,,,,
11022,Deua - Wadbilliga,0,0,12,0,<5,0,<5,0,9,<5,<5,6,<5,<5,0,0,0,26,0,0,0,0,0,0,0,0,<5,,,,,,,,,,,,,,,,,,,,,
11023,Eden,5,23,643,<5,92,<5,56,78,254,257,217,186,15,146,22,62,0,"1,109",<5,0,<5,0,0,<5,18,<5,320,,,,,,,,,,,,,,,,,,,,,
11024,Eurobodalla Hinterland,<5,<5,470,<5,99,<5,54,81,210,232,169,200,44,130,8,28,<5,865,0,0,<5,0,<5,<5,14,8,160,,,,,,,,,,,,,,,,,,,,,
11025,Merimbula - Tura Beach,<5,9,"2,191",10,298,5,121,371,434,623,470,445,98,295,25,95,<5,"3,098",<5,0,12,0,0,0,26,24,830,,,,,,,,,,,,,,,,,,,,,
11026,Moruya - Tuross Head,<5,27,"1,689",8,303,<5,155,229,533,539,376,481,99,345,33,97,0,"2,765",5,0,8,0,<5,8,66,12,581,,,,,,,,,,,,,,,,,,,,,
11027,Narooma - Bermagui,7,25,"2,143",7,348,<5,179,323,663,593,419,493,112,370,37,106,<5,"3,366",<5,<5,9,0,0,<5,52,12,869,,,,,,,,,,,,,,,,,,,,,
11028,Avoca Beach - Copacabana,<5,<5,592,8,118,<5,37,176,110,371,294,247,48,113,8,43,0,887,<5,0,<5,0,0,<5,8,44,313,,,,,,,,,,,,,,,,,,,,,
11029,Box Head - MacMasters Beach,<5,<5,"1,554",8,276,6,105,369,234,471,360,369,82,184,16,63,0,"2,142",<5,0,10,0,<5,0,21,55,658,,,,,,,,,,,,,,,,,,,,,
11030,Calga - Kulnura,<5,0,403,5,93,<5,47,113,149,225,160,140,24,109,9,32,0,711,<5,0,<5,0,0,<5,8,9,217,,,,,,,,,,,,,,,,,,,,,
11031,Erina - Green Point,<5,6,"2,699",13,366,6,119,418,458,560,409,465,107,232,17,71,0,"3,594",<5,0,8,0,<5,<5,32,72,"1,111",,,,,,,,,,,,,,,,,,,,,
11032,Gosford - Springfield,8,14,"2,327",34,452,14,168,239,"1,022","1,237","1,032","1,108",221,768,48,243,0,"4,261",9,6,10,0,<5,<5,115,145,"1,757",,,,,,,,,,,,,,,,,,,,,
11033,Kariong,23,<5,403,<5,158,5,55,37,159,428,339,288,63,119,9,67,<5,783,<5,<5,<5,0,0,0,20,37,210,,,,,,,,,,,,,,,,,,,,,
11034,Kincumber - Picketts Valley,<5,<5,"1,578",9,231,5,83,189,259,409,321,280,64,173,12,50,0,"2,125",<5,<5,5,0,<5,<5,23,34,297,,,,,,,,,,,,,,,,,,,,,
11035,Narara,5,6,634,5,192,6,74,76,219,472,347,364,74,174,9,77,0,"1,128",0,<5,<5,0,<5,0,41,43,282,,,,,,,,,,,,,,,,,,,,,
11036,Niagara Park - Lisarow,5,6,821,10,218,7,73,102,228,494,353,356,74,146,15,63,<5,"1,294",<5,0,<5,0,0,<5,27,46,276,,,,,,,,,,,,,,,,,,,,,
11037,Point Clare - Koolewong,<5,<5,951,9,152,<5,44,180,186,293,231,224,47,155,9,41,0,"1,347",<5,0,<5,0,0,0,24,24,340,,,,,,,,,,,,,,,,,,,,,
